"chrono","MIS","species","country","site","label","side","B","L","location"
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 A 45","dext","12.5","15.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H7 A 78","dext",13,15,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 701","dext",13,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 C 263","dext",13,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 257","dext","14.2","17.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 C 260","dext",13,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 702","dext",14,"16.3",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 242","dext",14,"16.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 358","dext",15,18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 585","dext","13.8",17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 618","dext",14,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H8 C 688","dext",13,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 617","dext",13,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 C 261","sin",14,,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G10 C 134","sin",14,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F11 C 343","sin",13,15,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 193","sin",13,"15.2",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 246","sin",14,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 C 279","sin",13,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 C 537","sin",13,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H8 C 206","sin",15,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","HS","dext",14,18,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F10 C 278","dext",14,"15.5",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","H9 B 78","sin","13.3","16.3",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 492","sin","13.5","16.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 677","sin",15,"17.8",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 202","sin",16,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","E10 B 13","sin","14.8",16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","F9 B 245","dext","14.2",16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 564","dext","14.5",16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 731","dext","13.5","15.6",
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G8 B 339","dext",13,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G9 B 569","dext",14,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G6 E 118","dext",13,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G6 E 111","sin",14,16,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","G6 82","sin",14,17,
"Late Pleistocene",3,"Crocuta crocuta spelaea","France","Fouvent","1842-16","sin",14,19,
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PII R8","sin",,16,"MMSH, LAMPEA, Aix-en-Provence"
"Late Pleistocene","5e ?","Crocuta crocuta spelaea","France","Peyre","PI E9 152","dext",11,15,"MMSH, LAMPEA, Aix-en-Provence"
